symbolic_metric,measured_metric,pearson,spearman,kendall,pearson_loglog
Symbolic Bytes,L2 Misses,0.4298176572393137,0.39999999999999997,0.3333333333333334,0.7272763426100844
Symbolic Bytes,L2 DRead + DWrite,0.2594294900447032,0.39999999999999997,0.3333333333333334,0.5707285217595651
Symbolic Bytes,L2 DMisses,0.4298176572393137,0.39999999999999997,0.3333333333333334,0.7272763426100844
Symbolic Bytes,L2 Access,0.23515399637036172,0.39999999999999997,0.3333333333333334,0.5350881351050372
Symbolic Bytes,LST,0.2252819598320007,0.0,0.0,0.1583936302729302
Symbolic Bytes,L3 Misses,0.9046439025008085,0.39999999999999997,0.3333333333333334,0.9521890751534584
Symbolic Bytes,L3 DRead + DWrite,0.203300809181682,0.19999999999999998,0.0,0.5340805080032184
Symbolic Bytes,L3 DMisses,0.9046439025008085,0.39999999999999997,0.3333333333333334,0.9521890751534584
Symbolic Bytes,L3 Access,0.42866634665495357,0.39999999999999997,0.3333333333333334,0.726578950096612
Symbolic Bytes,PAPI FLOPs,-0.25375240057520515,-0.6000000000000001,-0.3333333333333334,-0.29775731751308077
symbolic_volume_write_bytes,L2 Misses,0.8093591590364896,0.7999999999999999,0.6666666666666669,0.8031750062088325
symbolic_volume_write_bytes,L2 DRead + DWrite,0.7168574011861195,0.7999999999999999,0.6666666666666669,0.6791721550090388
symbolic_volume_write_bytes,L2 DMisses,0.8093591590364896,0.7999999999999999,0.6666666666666669,0.8031750062088325
symbolic_volume_write_bytes,L2 Access,0.700364048641969,0.7999999999999999,0.6666666666666669,0.6482006207092804
symbolic_volume_write_bytes,LST,0.5969254568420707,0.39999999999999997,0.3333333333333334,0.22836386167522563
symbolic_volume_write_bytes,L3 Misses,0.915784088483842,0.7999999999999999,0.6666666666666669,0.9564445525172514
symbolic_volume_write_bytes,L3 DRead + DWrite,0.6795366388296975,1.0,1.0,0.6510711799406658
symbolic_volume_write_bytes,L3 DMisses,0.915784088483842,0.7999999999999999,0.6666666666666669,0.9564445525172514
symbolic_volume_write_bytes,L3 Access,0.8087507549549579,0.7999999999999999,0.6666666666666669,0.8026148522799248
symbolic_volume_write_bytes,PAPI FLOPs,0.028402516186852373,0.19999999999999998,0.0,-0.249868162332618
symbolic_volume_read_bytes,L2 Misses,0.18561293074860694,0.39999999999999997,0.3333333333333334,0.6538705520047641
symbolic_volume_read_bytes,L2 DRead + DWrite,-0.0030105623651240456,0.39999999999999997,0.3333333333333334,0.4771395487988578
symbolic_volume_read_bytes,L2 DMisses,0.18561293074860694,0.39999999999999997,0.3333333333333334,0.6538705520047641
symbolic_volume_read_bytes,L2 Access,-0.028214199548117314,0.39999999999999997,0.3333333333333334,0.43869533432132607
symbolic_volume_read_bytes,LST,0.010270862475889419,0.0,0.0,0.09092771316058886
symbolic_volume_read_bytes,L3 Misses,0.7875097176064934,0.39999999999999997,0.3333333333333334,0.9292283833840592
symbolic_volume_read_bytes,L3 DRead + DWrite,-0.06169556455941955,0.19999999999999998,0.0,0.43574653568182353
symbolic_volume_read_bytes,L3 DMisses,0.7875097176064934,0.39999999999999997,0.3333333333333334,0.9292283833840592
symbolic_volume_read_bytes,L3 Access,0.18433002635768755,0.39999999999999997,0.3333333333333334,0.6530823916249768
symbolic_volume_read_bytes,PAPI FLOPs,-0.3646241077623858,-0.6000000000000001,-0.3333333333333334,-0.34262793784482676
