symbolic_metric,measured_metric,pearson,spearman,kendall,pearson_loglog
Symbolic Bytes,L2 Misses,0.9266408530279399,0.09936214676667494,0.07205951691589893,0.4163666518286159
Symbolic Bytes,L2 DRead + DWrite,0.9381733664751825,0.29800614297308914,0.18742348982806087,0.6164946822277249
Symbolic Bytes,L2 DMisses,0.9266408530279399,0.09936214676667494,0.07205951691589893,0.4163666518286159
Symbolic Bytes,L2 Access,0.9896721766715246,0.12488048092333953,0.07962922917090029,0.5609803624218151
Symbolic Bytes,LST,0.7055292556931217,0.1230750326357647,0.10088332368225851,0.5336927747371075
Symbolic Bytes,L3 Misses,0.7119208996826752,0.1286166309638672,0.09768067848599635,0.31527389674208695
Symbolic Bytes,L3 DRead + DWrite,0.9373454237285883,0.09003479915571874,0.0549344711565006,0.3774258978096915
Symbolic Bytes,L3 DMisses,0.7119208996826752,0.1286166309638672,0.09768067848599635,0.31527389674208695
Symbolic Bytes,L3 Access,0.98679216029522,0.10909248229883445,0.07637905655167987,0.47182287792639016
Symbolic Bytes,PAPI FLOPs,-0.04318147315617839,0.41830824098290703,0.3059769698248162,0.19227073516971246
symbolic_volume_write_bytes,L2 Misses,-0.18242616695374664,-0.36407012271836153,-0.22258384114022114,-0.2842120248827318
symbolic_volume_write_bytes,L2 DRead + DWrite,-0.15914705923089642,-0.23496886608931475,-0.1518776555503252,-0.14326627559703126
symbolic_volume_write_bytes,L2 DMisses,-0.18242616695374664,-0.36407012271836153,-0.22258384114022114,-0.2842120248827318
symbolic_volume_write_bytes,L2 Access,-0.11384601809170009,-0.15813880589463306,-0.08937974702856154,-0.13281362869029065
symbolic_volume_write_bytes,LST,-0.19997894157015228,-0.29370471138943216,-0.17454416319628852,-0.13391550680859063
symbolic_volume_write_bytes,L3 Misses,-0.2316822892108536,-0.31548448156267217,-0.1905573891775994,-0.26895585683870626
symbolic_volume_write_bytes,L3 DRead + DWrite,-0.16562506865088977,-0.37266914715100224,-0.2262007635855907,-0.3599873404064463
symbolic_volume_write_bytes,L3 DMisses,-0.2316822892108536,-0.31548448156267217,-0.1905573891775994,-0.26895585683870626
symbolic_volume_write_bytes,L3 Access,-0.12204302616077749,-0.18402077085283816,-0.10563061012466364,-0.20892850349351355
symbolic_volume_write_bytes,PAPI FLOPs,-0.0005670034318237418,0.19376851421338104,0.14023944450304077,0.2631118804909644
symbolic_volume_read_bytes,L2 Misses,0.9337048384992296,0.16483033166611838,0.1297071304486181,0.4852179978017465
symbolic_volume_read_bytes,L2 DRead + DWrite,0.9441491514235927,0.3225493450384931,0.2262007635855907,0.6489715570558655
symbolic_volume_read_bytes,L2 DMisses,0.9337048384992296,0.16483033166611838,0.1297071304486181,0.4852179978017465
symbolic_volume_read_bytes,L2 Access,0.9934885104190538,0.13833910270160618,0.09262991964778197,0.5941264999859469
symbolic_volume_read_bytes,LST,0.7137194652210744,0.15477813004769989,0.10728861407478286,0.5772859088185203
symbolic_volume_read_bytes,L3 Misses,0.7215613051464665,0.17939313657485284,0.13611242084114245,0.388341504993167
symbolic_volume_read_bytes,L3 DRead + DWrite,0.9436206013194727,0.16108091039767755,0.11956326075238366,0.440630315476287
symbolic_volume_read_bytes,L3 DMisses,0.7215613051464665,0.17939313657485284,0.13611242084114245,0.388341504993167
symbolic_volume_read_bytes,L3 Access,0.9909899703621773,0.13911556165035233,0.10888078274388407,0.5284233809478339
symbolic_volume_read_bytes,PAPI FLOPs,-0.04309322630774905,0.38277328422350954,0.29960244962013255,0.15044767265347028
