symbolic_metric,measured_metric,pearson,spearman,kendall,pearson_loglog
Symbolic Bytes,L2 Misses,0.9970125916752892,0.11515151515151514,0.1111111111111111,0.8294848616895584
Symbolic Bytes,L2 DRead + DWrite,0.9967727347994383,0.16363636363636364,0.15555555555555553,0.7689017044587216
Symbolic Bytes,L2 Access,0.9967626043170364,0.0303030303030303,0.06666666666666667,0.7540893843990626
Symbolic Bytes,LST,0.9969789390874993,0.49090909090909085,0.37777777777777777,0.807834349315561
Symbolic Bytes,L3 Misses,0.9807054588801172,0.4424242424242424,0.3333333333333333,0.5704078334772116
Symbolic Bytes,L3 DRead + DWrite,0.9968480059890682,0.01818181818181818,0.06666666666666667,0.7333049121566934
Symbolic Bytes,L3 Access,0.9970104090840949,0.07878787878787878,0.06666666666666667,0.8288631721864343
Symbolic Bytes,PAPI FLOPs,0.9958063296210757,0.34545454545454546,0.24444444444444444,0.8625313849749799
symbolic_volume_write_bytes,L2 Misses,-0.3944447567652657,-0.7454545454545454,-0.5555555555555555,-0.3547600827767173
symbolic_volume_write_bytes,L2 DRead + DWrite,-0.3905734051029507,-0.6969696969696969,-0.5111111111111111,-0.2608107823812883
symbolic_volume_write_bytes,L2 Access,-0.391073882636528,-0.7575757575757575,-0.6,-0.30594685563709323
symbolic_volume_write_bytes,LST,-0.3975701663936482,-0.4424242424242424,-0.28888888888888886,-0.25092699263606555
symbolic_volume_write_bytes,L3 Misses,-0.4395824225117215,-0.4424242424242424,-0.3333333333333333,-0.36267399559812696
symbolic_volume_write_bytes,L3 DRead + DWrite,-0.3913140390032206,-0.7454545454545454,-0.5111111111111111,-0.45371275306649905
symbolic_volume_write_bytes,L3 Access,-0.3944168486429877,-0.7818181818181817,-0.6,-0.3539517393320042
symbolic_volume_write_bytes,PAPI FLOPs,-0.3977410213984517,-0.35757575757575755,-0.24444444444444444,-0.254247805703577
symbolic_volume_read_bytes,L2 Misses,0.9981043044227108,0.33333333333333326,0.19999999999999998,0.838577686225026
symbolic_volume_read_bytes,L2 DRead + DWrite,0.9977786923946098,0.34545454545454546,0.24444444444444444,0.7558443772752794
symbolic_volume_read_bytes,L2 Access,0.9977799715019736,0.17575757575757575,0.15555555555555553,0.7445162466013556
symbolic_volume_read_bytes,LST,0.9981416702885093,0.6242424242424242,0.4666666666666666,0.8005792431794564
symbolic_volume_read_bytes,L3 Misses,0.9829472064064028,0.6606060606060605,0.5111111111111111,0.6046840252312701
symbolic_volume_read_bytes,L3 DRead + DWrite,0.9978701385310377,0.24848484848484845,0.24444444444444444,0.7441718089004551
symbolic_volume_read_bytes,L3 Access,0.9981015071976717,0.309090909090909,0.15555555555555553,0.8376270043725911
symbolic_volume_read_bytes,PAPI FLOPs,0.9969821469476807,0.32121212121212117,0.24444444444444444,0.8562603819592083
