kernel,OI_fitted_func,line_size,sim_time_sec,Volume_total_tv,Vol_read_tv,Vol_w_tv
arc_distance,23.0*N**1.0 + 1.86728410511705e-12,8,-0.7545666666666667,40*N,32*N,8*N
floyd_warshall,0.341046695281828*N**2.0*log(N)**2/log(2)**2 - 2555.18362287798,8,-117.42785,"12*N**3 + 4*Sum(Max(k, N - 1)**2 + 2*Max(k, N - 1) + 1, (k, 0, N - 1))","4*N**3 + 4*Sum(Max(k, N - 1)**2 + 2*Max(k, N - 1) + 1, (k, 0, N - 1))",8*N**3
go_fast,0.0545498766564423*N**1.5*log(N)**2/log(2)**2 + 10.2561568770238,8,-1.0842166666666666,16*N**2 + 56*N + 16,8*N**2 + 32*N + 8,8*N**2 + 24*N + 8
nussinov,0.344809935338889*N**1.75 - 15.3423501703187,8,-11.376266666666666,"4*N**2 + 4*N*(N - 1) + 2*N*(N**2 - 3*N + 2)/3 + Max(0, 8*N*(N - 1)) + Max(2*N*(N - 1), 10*N*(N - 1))","Max(0, 8*N*(N - 1))","4*N**2 + 4*N*(N - 1) + 2*N*(N**2 - 3*N + 2)/3 + Max(2*N*(N - 1), 10*N*(N - 1))"
arc_distance,23.0*N**1.0 + 1.86728410511705e-12,64,-0.7494333333333333,40*N,32*N,8*N
floyd_warshall,0.341046695281828*N**2.0*log(N)**2/log(2)**2 - 2555.18362287798,64,-120.18723333333334,"12*N**3 + 4*Sum(Max(k, N - 1)**2 + 2*Max(k, N - 1) + 1, (k, 0, N - 1))","4*N**3 + 4*Sum(Max(k, N - 1)**2 + 2*Max(k, N - 1) + 1, (k, 0, N - 1))",8*N**3
go_fast,0.0545498766564423*N**1.5*log(N)**2/log(2)**2 + 10.2561568770238,64,-1.2160833333333334,16*N**2 + 56*N + 16,8*N**2 + 32*N + 8,8*N**2 + 24*N + 8
nussinov,0.344809935338889*N**1.75 - 15.3423501703187,64,-13.126433333333333,"4*N**2 + 4*N*(N - 1) + 2*N*(N**2 - 3*N + 2)/3 + Max(0, 8*N*(N - 1)) + Max(2*N*(N - 1), 10*N*(N - 1))","Max(0, 8*N*(N - 1))","4*N**2 + 4*N*(N - 1) + 2*N*(N**2 - 3*N + 2)/3 + Max(2*N*(N - 1), 10*N*(N - 1))"
